datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2020-07;0,2;-19,58;ok;0,204;ok;S2+S1;74,947;75,426;74,703;75,669;75,456;0,797;0,8258;0,8459;0,7702;0,8268;1,0;1,1
2020-08;0,1;-19,28;ok;0,203;ok;S2+S1;74,972;75,464;74,796;75,64;75,471;0,8027;0,8132;0,8336;0,774;0,8117;1,0;1,1
2020-09;0,0;-19,86;ok;0,037;ok;S2+S1;74,808;75,556;74,68;75,685;75,556;0,8034;0,8257;0,8367;0,7837;0,8257;1,0;1,1
2020-10;0,4;-19,66;ok;0,232;ok;S2+S1;75,02;9,344;8,985;75,379;9,553;0,7849;3,1924;3,1337;0,8038;3,2743;1,1;34,3
2020-11;0,0;-20,14;ok;0,233;ok;S2+S1;74,892;63,518;62,936;75,474;63,519;0,7824;8,9616;8,8881;0,8146;8,9612;1,1;14,1
2020-12;37,4;-19,67;ok;0,316;ok;S2+S1;74,568;3,567;3,379;74,757;32,204;0,8105;2,9411;2,7998;0,8647;3,0115;1,2;9,4
2021-01;97,4;-22,21;ok;0,131;ok;S1;42,719;0,781;0,536;42,964;42,719;21,1307;0,2148;0,3462;20,9288;21,1307;48,7;49,5
2021-02;0,1;-20,57;ok;0,414;ok;S2+S1;74,844;55,178;54,961;75,061;55,189;0,8247;2,6214;2,604;0,8179;2,6252;1,1;4,8
2021-03;0,7;-20,35;ok;0,299;ok;S2+S1;74,847;19,479;19,055;75,271;20,029;0,8108;6,3093;6,2243;0,8416;6,3821;1,1;31,9
2021-04;0,2;-20,15;ok;0,486;ok;S2+S1;75,063;19,976;19,766;75,272;20,001;0,7943;3,0326;3,0022;0,8048;3,0381;1,1;15,2
2021-05;13,3;-19,18;ok;0,337;ok;S2+S1;75,106;17,698;17,467;75,337;27,507;0,8457;5,2788;5,164;0,8874;5,2998;1,2;19,3
2021-06;0,1;-19,5;ok;0,177;ok;S2+S1;74,843;75,519;74,62;75,742;75,539;0,8029;0,819;0,826;0,7854;0,8153;1,0;1,1
2021-07;0,2;-19,82;ok;0,161;ok;S2+S1;74,809;75,335;74,548;75,596;75,367;0,817;0,7955;0,8323;0,7726;0,7981;1,0;1,1
2021-08;1,0;-18,76;ok;0,341;ok;S2+S1;75,122;42,564;42,312;75,374;43,17;0,8575;4,8779;4,8824;0,816;4,9003;1,1;11,4
2021-09;0,0;-20,35;ok;0,121;ok;S2+S1;74,955;75,547;74,792;75,71;75,547;0,797;0,813;0,8242;0,7773;0,813;1,0;1,1
2021-10;18,4;-20,17;ok;0,395;ok;S2+S1;74,87;34,674;34,374;75,17;48,827;0,7995;18,5855;18,5225;0,814;16,3671;1,1;33,5
2021-11;11,4;-19,46;ok;0,002;ok;S2+S1;74,739;37,225;36,832;75,132;45,31;0,8058;16,7588;16,6952;0,8214;17,1316;1,1;37,8
2021-12;2,9;-20,15;ok;0,465;ok;S2+S1;74,611;49,544;49,27;74,885;51,762;0,8014;21,7746;21,6986;0,8244;19,6882;1,1;38,0
2022-01;44,1;-22,93;ok;-0,152;ok;S2+S1;57,316;37,814;27,245;67,885;64,15;24,9726;4,4739;14,3476;13,7243;15,4618;20,2;24,1
2022-02;1,4;-20,35;ok;0,498;ok;S2+S1;33,128;42,171;16,954;58,345;42,689;20,2661;12,3597;13,1633;16,3461;12,4411;28,0;29,1
2022-03;0,0;-21,32;ok;0,204;ok;S2+S1;74,823;75,458;74,665;75,615;75,458;0,8517;0,8245;0,8503;0,8168;0,8245;1,1;1,1
2022-04;5,0;-22,2;ok;0,517;unplausibel;S1;45,627;21,719;13,673;53,672;45,627;27,6878;4,8709;8,7732;22,2628;27,6878;41,5;60,7
2022-05;0,2;-20,39;ok;0,515;unplausibel;S1;74,834;31,742;31,333;75,243;74,834;0,823;5,1662;5,1184;0,824;0,823;1,1;1,1
2022-06;0,2;-18,52;ok;0,41;ok;S2+S1;75,045;25,171;25,009;75,207;25,213;0,8209;5,5382;5,5021;0,822;5,5615;1,1;22,1
2022-07;0,1;-20,04;ok;0,184;ok;S2+S1;74,698;75,291;74,485;75,503;75,317;0,8585;0,7768;0,8376;0,7904;0,779;1,0;1,0
2022-08;0,1;-19,87;ok;0,25;ok;S2+S1;74,675;75,029;74,369;75,336;75,047;0,8805;0,7982;0,8662;0,8024;0,8013;1,1;1,1
2022-09;16,8;-19,63;ok;0,373;ok;S2+S1;74,914;35,837;35,692;75,058;48,25;0,8508;4,025;4,0301;0,8262;4,7937;1,1;9,9
2022-10;2,2;-20,45;ok;0,223;ok;S2+S1;74,878;36,126;35,767;75,237;37,764;0,7973;13,3995;13,3285;0,8104;13,9012;1,1;36,8
2022-11;69,5;-19,64;ok;0,195;ok;S1;74,856;1,909;1,881;74,885;74,856;0,8103;0,8661;0,8546;0,8136;0,8103;1,1;1,1
