datum;s2_datenverlust_%;s1_otsu_dB;ndwi_otsu;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;Pegelstand
2023-10;62,8;-19,87;0,41;74,312;39,693;39,468;74,537;74,312;517,8054839
2023-11;87,2;-18,6;0,363;75,043;16,644;16,319;75,367;75,043;518,1823333
2023-12;51,8;-19,86;0,176;75,201;55,859;55,22;75,84;75,201;518,4667742
2024-01;78,3;-20,36;0,301;75,138;27,593;27,096;75,635;75,138;518,2267742
2024-02;57,8;-21,52;-0,107;74,996;40,497;39,561;75,932;74,996;518,2193103
2024-03;51,2;-20,57;0,409;74,934;24,257;23,926;75,265;74,934;518,1016129
2024-04;51,2;-20,14;0,334;75,046;32,567;32,18;75,433;75,046;518,148
2024-05;81,8;-20,03;-0,065;74,872;12,173;11,912;75,132;74,872;518,1993548
2024-06;55,2;-19,16;0,2;75,029;66,873;66,26;75,642;75,029;518,6376667
2024-07;51,2;-20,17;0,061;74,805;75,338;74,509;75,633;74,805;518,3351613
2024-08;51,2;-19,91;0,117;74,862;75,353;74,594;75,621;74,862;518,3077419
2024-09;51,2;-18,74;0,2;75,263;75,381;74,903;75,741;75,263;518,7146667
2024-10;51,1;-19,34;0,386;75,11;67,89;67,595;75,405;75,11;518,6174194
2024-11;66,6;-19,19;0,316;74,864;37,307;37,059;75,112;74,864;518,0616667
2024-12;52;-19,92;0,23;74,756;8,386;8,116;75,026;74,756;517,9716129
2025-01;63,6;-19,67;-0,23;74,779;45,255;44,297;75,736;74,779;517,9193548
2025-02;100;-21,41;0,2;74,324;0;0;74,324;74,324;517,8264286
2025-03;51,1;-20,16;0,437;74,373;31,792;31,562;74,603;74,373;517,7967742
2025-04;51,2;-21,31;0,491;74,625;20,743;20,456;74,912;74,625;517,964
2025-05;51,2;-20,02;0,377;74,5;14,261;13,917;74,843;74,5;517,9164516
2025-06;51,2;-20,11;0,314;74,53;12,085;11,8;74,815;74,53;518,011
2025-07;51,2;-18,96;0,109;74,898;75,221;74,602;75,516;74,898;518,1887097
2025-08;51,2;-20,21;0,051;74,947;75,55;74,771;75,725;74,947;518,5909677
2025-09;51,1;-19,91;0,114;74,847;75,297;74,562;75,582;74,847;518,193
2025-10;51,2;-19,54;0,432;74,871;42,506;42,277;75,1;74,871;518,0958065
2025-11;58,7;-20,36;-0,113;74,693;49,778;49,043;75,428;74,693;517,9863333
2025-12;53,5;-20,34;0,09;74,617;21,201;20,52;75,298;74,617;517,9196774
